player_id,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
6800,Tre Jones,SAS,23,185.42,83.91452,Duke,USA,2020,2,41,68,12.9,3.6,6.6,-7.8,0.026000000000000002,0.099,0.18899999999999997,0.534,0.306,2022-23
117,Austin Reaves,LAL,25,195.58,89.357624,Oklahoma,USA,Undrafted,Undrafted,Undrafted,64,13,3,3.4,4.9,0.018000000000000002,0.079,0.154,0.687,0.155,2022-23
6353,Shake Milton,PHI,24,195.58,92.98635999999999,Southern Methodist,USA,2018,2,54,63,13,2.3,3.1,4.3,0.022000000000000002,0.076,0.239,0.5489999999999999,0.21,2020-21
3791,Ricky Rubio,PHX,29,190.5,86.18248,None,Spain,2009,1,5,65,13,4.7,8.8,4,0.023,0.128,0.19899999999999998,0.535,0.377,2019-20
6173,Lonzo Ball,CHI,24,198.12,86.18248,UCLA,USA,2017,1,2,35,13,5.4,5.1,3.1,0.028999999999999998,0.125,0.17,0.575,0.203,2021-22
345,Cole Anthony,ORL,23,190.5,83.91452,North Carolina,USA,2020,1,15,60,13,4.8,3.9,-0.1,0.03,0.152,0.209,0.57,0.228,2022-23
6705,Tyrese Haliburton,SAC,21,195.58,83.91452,Iowa State,USA,2020,1,12,58,13,3,5.3,-5.6,0.022000000000000002,0.076,0.175,0.585,0.247,2020-21
6317,Miles Bridges,CHA,22,198.12,102.0582,Michigan State,USA,2018,1,12,65,13,5.6,1.8,-9.7,0.042,0.138,0.196,0.52,0.092,2019-20
3812,Ricky Rubio,IND,31,187.96,86.18248,None,Spain,2009,1,5,34,13.1,4.1,6.6,9.1,0.015,0.122,0.23399999999999999,0.488,0.348,2021-22
5684,Montrezl Harrell,CHA,28,200.66,108.86208,Louisville,USA,2015,2,32,71,13.1,6.1,2,3,0.092,0.163,0.198,0.68,0.139,2021-22
5394,Marcus Smart,BOS,27,190.5,99.79024,Oklahoma State,USA,2014,1,6,48,13.1,3.5,5.7,2.8,0.022000000000000002,0.084,0.179,0.539,0.22699999999999998,2020-21
603,Duncan Robinson,MIA,27,200.66,97.52228000000001,Michigan,USA,Undrafted,Undrafted,Undrafted,72,13.1,3.5,1.8,2.3,0.003,0.109,0.162,0.628,0.082,2020-21
312,Christian Wood,DET,24,208.28,97.068688,UNLV,USA,Undrafted,Undrafted,Undrafted,62,13.1,6.3,1,2,0.079,0.214,0.223,0.659,0.074,2019-20
6217,John Collins,ATL,25,205.74,102.511792,Wake Forest,USA,2017,1,19,71,13.1,6.5,1.2,-0.2,0.035,0.18,0.168,0.593,0.052000000000000005,2022-23
300,Chris Duarte,IND,25,195.58,86.18248,Oregon,Dominican Republic,2021,1,13,55,13.1,4.1,2.1,-2,0.026000000000000002,0.11699999999999999,0.207,0.537,0.11,2021-22
529,Derrick White,BOS,27,193.04,86.18248,Colorado,USA,2017,1,29,75,13.2,3.5,4.9,4.9,0.017,0.094,0.196,0.5489999999999999,0.231,2021-22
5956,Kris Dunn,UTA,29,190.5,92.98635999999999,Providence,USA,2016,1,5,22,13.2,4.5,5.6,-4.3,0.015,0.14800000000000002,0.195,0.606,0.315,2022-23
331,Coby White,CHI,20,193.04,88.45044,North Carolina,USA,2019,1,7,65,13.2,3.5,2.7,-4.4,0.015,0.128,0.235,0.506,0.162,2019-20
5127,Kentavious Caldwell-Pope,WAS,29,195.58,92.532768,Georgia,USA,2013,1,8,77,13.2,3.4,1.9,-4.7,0.018000000000000002,0.093,0.185,0.568,0.09,2021-22
6100,Thomas Bryant,WAS,22,208.28,112.490816,Indiana,USA,2017,2,42,46,13.2,7.2,1.8,-6.6,0.081,0.198,0.185,0.649,0.107,2019-20
405,Danilo Gallinari,ATL,32,208.28,105.68693600000002,None,Italy,2008,1,6,51,13.3,4.1,1.5,2.7,0.015,0.155,0.21100000000000002,0.613,0.099,2020-21
5444,Jusuf Nurkic,POR,28,213.36,131.54168,None,Bosnia and Herzegovina,2014,1,16,52,13.3,9.1,2.9,0.3,0.084,0.258,0.218,0.589,0.16,2022-23
259,Carmelo Anthony,LAL,38,200.66,107.95489599999999,Syracuse,USA,2003,1,3,69,13.3,4.2,1,-2.9,0.034,0.11599999999999999,0.195,0.579,0.055999999999999994,2021-22
2653,Kyle Lowry,MIA,36,182.88,88.904032,Villanova,USA,2006,1,24,63,13.4,4.5,7.5,5.9,0.016,0.11599999999999999,0.17800000000000002,0.6,0.321,2021-22
4472,Marcus Morris Sr.,LAC,31,203.2,98.88305600000001,Kansas,USA,2011,1,14,57,13.4,4.1,1,4.2,0.025,0.133,0.19399999999999998,0.614,0.055999999999999994,2020-21
747,Goran Dragic,MIA,35,190.5,86.18248,None,Slovenia,2008,2,45,50,13.4,3.4,4.4,1.5,0.019,0.107,0.239,0.552,0.26,2020-21
458,De'Andre Hunter,ATL,24,203.2,100.243832,Virginia,USA,2019,1,4,53,13.4,3.3,1.3,0.7,0.016,0.093,0.19399999999999998,0.547,0.06,2021-22
5136,Rudy Gobert,MIN,31,215.9,117.02673600000001,None,France,2013,1,27,70,13.4,11.6,1.2,0.4,0.111,0.26,0.161,0.675,0.057999999999999996,2022-23
258,Carmelo Anthony,POR,37,200.66,107.95489599999999,Syracuse,USA,2003,1,3,69,13.4,3.1,1.5,-0.6,0.017,0.107,0.228,0.547,0.097,2020-21
6147,Josh Jackson,DET,24,203.2,93.89354399999999,Kansas,USA,2017,1,4,62,13.4,4.1,2.3,-3.4,0.035,0.12300000000000001,0.254,0.516,0.15,2020-21
